baker,series,episode,signature_bake,show_stopper,baker_name,baker_age,baker_occupation,hometown,technical,result
Henry,10,NA,NA,NA,Henry Bird,20,Student,Durham,NA,NA
Imelda,9,NA,NA,NA,Imelda McCarron,33,Countryside recreation officer,County Tyrone,NA,NA
Jamie,10,NA,NA,NA,Jamie Finn,20,Part-time waiter,Surrey,NA,NA
Jo,2,NA,NA,NA,Jo Wheatley,41,Housewife,"Ongar, Essex",NA,NA
Jon,9,NA,NA,NA,Jon Jenkins,47,Blood courier,Newport,NA,NA
Karen,9,NA,NA,NA,Karen Wright,60,In-store sampling assistant,Wakefield,NA,NA
Kim-Joy,9,NA,NA,NA,Kim-Joy Hewlett,27,Mental health specialist,Leeds,NA,NA
Luke,9,NA,NA,NA,Luke Thompson,30,Civil servant/house and techno DJ,Sheffield,NA,NA
Manon,9,NA,NA,NA,Manon Lagrave,26,Software project manager,London,NA,NA
Michael,10,NA,NA,NA,Michael Chakraverty,26,Theatre manager/fitness instructor,Stratford-upon-Avon,NA,NA
Michelle,10,NA,NA,NA,Michelle Evans-Fecci,35,Print shop administrator,"Tenby, Wales",NA,NA
Phil,10,NA,NA,NA,Phil Thorne,56,HGV driver,Rainham,NA,NA
Priya,10,NA,NA,NA,Priya O'Shea,34,Marketing consultant,Leicester,NA,NA
Rahul,9,NA,NA,NA,Rahul Mandal,30,Research scientist,Rotherham,NA,NA
Rosie,10,NA,NA,NA,Rosie Brandreth-Poynter,28,Veterinary surgeon,Somerset,NA,NA
Ruby,9,NA,NA,NA,Ruby Bhogal,29,Project manager,London,NA,NA
Steph,10,NA,NA,NA,Steph Blackwell,28,Shop assistant,Chester,NA,NA
Terry,9,NA,NA,NA,Terry Hartill,56,Retired air steward,West Midlands,NA,NA
Lea,1,2,NA,NA,NA,NA,NA,NA,NA,NA
Mark,1,2,NA,NA,NA,NA,NA,NA,NA,NA
Annetha,1,3,NA,NA,NA,NA,NA,NA,NA,NA
Lea,1,3,NA,NA,NA,NA,NA,NA,NA,NA
Louise,1,3,NA,NA,NA,NA,NA,NA,NA,NA
Mark,1,3,NA,NA,NA,NA,NA,NA,NA,NA
Annetha,1,4,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan,1,4,NA,NA,NA,NA,NA,NA,NA,NA
Lea,1,4,NA,NA,NA,NA,NA,NA,NA,NA
Louise,1,4,NA,NA,NA,NA,NA,NA,NA,NA
Mark,1,4,NA,NA,NA,NA,NA,NA,NA,NA
Annetha,1,5,NA,NA,NA,NA,NA,NA,NA,NA
David,1,5,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan,1,5,NA,NA,NA,NA,NA,NA,NA,NA
Lea,1,5,NA,NA,NA,NA,NA,NA,NA,NA
Louise,1,5,NA,NA,NA,NA,NA,NA,NA,NA
Mark,1,5,NA,NA,NA,NA,NA,NA,NA,NA
Annetha,1,6,NA,NA,NA,NA,NA,NA,NA,NA
David,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Jasminder,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Jonathan,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Lea,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Louise,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Mark,1,6,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,1,NA,NA,NA,NA,NA,NA,11,IN
Joanne,2,2,NA,NA,NA,NA,NA,NA,10,IN
Keith,2,2,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,3,NA,NA,NA,NA,NA,NA,1,IN
Keith,2,3,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,3,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,4,NA,NA,NA,NA,NA,NA,8,IN
Ian,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,4,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,5,NA,NA,NA,NA,NA,NA,6,IN
Ben,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,5,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,6,NA,NA,NA,NA,NA,NA,1,STAR BAKER
Ben,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,6,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,7,NA,NA,NA,NA,NA,NA,3,IN
Ben,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Yasmin,2,7,NA,NA,NA,NA,NA,NA,NA,NA
Joanne,2,8,NA,NA,NA,NA,NA,NA,1,WINNER
Ben,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Ian,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Janet,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Jason,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Keith,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Robert,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Simon,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Urvashi,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Yasmin,2,8,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,2,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,3,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,3,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,4,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,5,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,6,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,7,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,8,NA,NA,NA,NA,NA,NA,NA,NA
Cathryn,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,9,NA,NA,NA,NA,NA,NA,NA,NA
Cathryn,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Danny,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Manisha,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Natasha,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Peter,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Ryan,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Sarah-Jane,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Stuart,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Victoria,3,10,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,2,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,3,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,4,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Toby,4,5,NA,NA,NA,NA,NA,NA,NA,NA
Ali,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Deborah,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Lucy,4,6,NA,NA,NA,NA,NA,NA,NA,NA
Mark,4,6,NA,NA,NA,NA,NA,NA,NA,NA
